"1 _ 1",,
"時間","試験力","ストローク"
"sec","N","mm"
"0","0.3258387","0"
"1","184.4327","0.01610417"
"2","518.7194","0.03277083"
"3","871.9285","0.04945833"
"4","1239.308","0.066125"
"5","1617.424","0.08279166"
"6","1995.834","0.09945833"
"7","2368.339","0.1161042"
"8","2731.101","0.1327917"
"9","3085.399","0.1494583"
"10","3430.366","0.1661458"
"11","3757.517","0.1827917"
"12","4076.115","0.1994167"
"13","4395.66","0.2161042"
"14","4713.599","0.2327917"
"15","5031.141","0.2494792"
"16","5347.332","0.266125"
"17","5662.298","0.2827708"
"18","5978.163","0.2994375"
"19","6292.407","0.316125"
"20","6606.635","0.3328125"
"21","6919.098","0.3494583"
"22","7230.258","0.3661042"
"23","7540.544","0.3827708"
"24","7849.511","0.3994583"
"25","8156.252","0.416125"
"26","8459.465","0.4327917"
"27","8760.627","0.4494167"
"28","9060.16","0.4661041"
"29","9355.831","0.4828125"
"30","9648.617","0.4994792"
"31","9937.668","0.516125"
"32","10222.49","0.5327708"
"33","10506.23","0.5494583"
"34","10784.28","0.566125"
"35","11057.92","0.5827917"
"36","11325.5","0.5994583"
"37","11585.87","0.6161042"
"38","11840.22","0.6327916"
"39","12085.57","0.6494583"
"40","12324.83","0.666125"
"41","12555.12","0.6827917"
"42","12777.41","0.6994166"
"43","12992.13","0.716125"
"44","13196.99","0.7327917"
"45","13393.54","0.7494583"
"46","13581.26","0.766125"
"47","13758.75","0.78275"
"48","13931.89","0.7994375"
"49","14099.9","0.816125"
"50","14263.64","0.8327917"
"51","14418.98","0.8494791"
"52","14567.72","0.8661042"
"53","14713.84","0.8827916"
"54","14855.72","0.8994583"
"55","14995.86","0.916125"
"56","15136","0.9327917"
"57","15273.46","0.9494166"
"58","15412.58","0.966125"
"59","15550.63","0.9828125"
"60","15686.2","0.9994583"
"61","15819.11","1.016125"
"62","15950.58","1.032771"
"63","16086.73","1.049458"
"64","16223.23","1.066125"
"65","16353.72","1.082792"
"66","16478.19","1.099479"
"67","16593.05","1.116104"
"68","16699.28","1.132792"
"69","15968.89","1.149479"
"70","15696.18","1.166125"
"71","15704.32","1.182792"
"72","15765.94","1.199417"
"73","15712.62","1.216104"
"74","15688.64","1.232792"
"75","15650.69","1.249479"
"76","15555.27","1.266125"
"77","15555.48","1.282771"
"78","15515.11","1.299458"
"79","15476.51","1.316125"
"80","15502.76","1.332792"
"81","15535.86","1.349458"
"82","15511.13","1.366104"
"83","15521.64","1.382792"
"84","15516.82","1.399458"
"85","15541.04","1.416146"
"86","15526.66","1.432792"
"87","15576.24","1.449417"
"88","15681.58","1.466125"
"89","15774.67","1.482792"
"90","15941.11","1.499479"
"91","16121.36","1.516146"
"92","16257.08","1.53275"
"93","16386.26","1.549438"
"94","16506.81","1.566125"
"95","16608.05","1.582792"
"96","16699.94","1.599479"
"97","16779.74","1.616104"
"98","16856.08","1.632792"
"99","16926.81","1.649458"
"100","16992.81","1.666146"
"101","17053.45","1.682792"
"102","17116.17","1.699417"
"103","17179.74","1.716125"
"104","17240.25","1.732792"
"105","17302.97","1.749458"
"106","17363.49","1.766125"
"107","17422.26","1.782771"
"108","17482.07","1.799458"
"109","17539.62","1.816125"
"110","17596.44","1.832792"
"111","17652.19","1.849479"
"112","17708.11","1.866083"
"113","17767.38","1.882792"
"114","17826.44","1.899458"
"115","17885.92","1.916146"
"116","17942.91","1.932792"
"117","17999.62","1.949417"
"118","18058.12","1.966125"
"119","18115.25","1.982792"
"120","18169.73","1.999479"
"121","18222.49","2.016125"
"122","18274.13","2.032771"
"123","18326.66","2.049438"
"124","18380.82","2.066125"
"125","18435.54","2.082792"
"126","18491.23","2.099479"
"127","18545.33","2.116104"
"128","18600.69","2.132792"
"129","18654.97","2.149458"
"130","18709.79","2.166146"
"131","18763.85","2.182792"
"132","18816.91","2.199417"
"133","18870.85","2.216104"
"134","18923.76","2.232792"
"135","18976.86","2.249479"
"136","19029.96","2.266125"
"137","19081.4","2.282771"
"138","19135.08","2.299438"
"139","19187.91","2.316125"
"140","19241.33","2.332813"
"141","19293.33","2.349479"
"142","19344.86","2.366104"
"143","19398.62","2.382792"
"144","19452.84","2.399458"
"145","19506.98","2.416125"
"146","19559.35","2.432792"
"147","19611.95","2.449417"
"148","19665.11","2.466125"
"149","19716.6","2.482812"
"150","19768.12","2.499458"
"151","19820.72","2.516125"
"152","19870.3","2.532771"
"153","19920.74","2.549438"
"154","19971.25","2.566125"
"155","20021.61","2.582792"
"156","20070.82","2.599479"
"157","20118.42","2.616104"
"158","20167.37","2.632771"
"159","20216.85","2.649458"
"160","20267.46","2.666125"
"161","20316.66","2.682792"
"162","20365.48","2.699417"
"163","20415.54","2.716125"
"164","20464.18","2.732792"
"165","20508.55","2.749479"
"166","20561.2","2.766125"
"167","20609.72","2.782771"
"168","20659.86","2.799458"
"169","20710.23","2.816104"
"170","20759.84","2.832792"
"171","20808.06","2.849479"
"172","20854.7","2.866104"
"173","20902.82","2.882792"
"174","20949.38","2.899458"
"175","20995.96","2.916146"
"176","21040.48","2.932792"
"177","21084.63","2.949417"
"178","21130.19","2.966104"
"179","21175.35","2.982792"
"180","21221.08","2.999458"
"181","21267.2","3.016125"
"182","21312.85","3.032771"
"183","21359.95","3.049458"
"184","21407.49","3.066125"
"185","21455.65","3.082792"
"186","21501.98","3.099479"
"187","21547.44","3.116104"
"188","21594.43","3.132792"
"189","21640.29","3.149458"
"190","21687.05","3.166146"
"191","21733.43","3.182792"
"192","21778.74","3.199417"
"193","21825.07","3.216125"
"194","21870.39","3.232812"
"195","21915.83","3.249458"
"196","21960.78","3.266125"
"197","22004.74","3.282771"
"198","22049.45","3.299458"
"199","22094.12","3.316125"
"200","22138.74","3.332792"
"201","22182.46","3.349479"
"202","22224.89","3.366104"
"203","22268.38","3.382792"
"204","22311.01","3.399458"
"205","22354.52","3.416146"
"206","22396.73","3.432792"
"207","22437.9","3.449417"
"208","22480.16","3.466125"
"209","22521.87","3.482812"
"210","22562.67","3.499479"
"211","22603.06","3.516125"
"212","22642.51","3.532771"
"213","22682.75","3.549438"
"214","22722.68","3.566125"
"215","22763.13","3.582792"
"216","22802.35","3.5995"
"217","22840.19","3.616104"
"218","22878.8","3.632771"
"219","22916.89","3.649458"
"220","22955.12","3.666146"
"221","22992.21","3.682792"
"222","23027.93","3.699417"
"223","23065.43","3.716104"
"224","23102.21","3.732771"
"225","23138.9","3.749458"
"226","23174.33","3.766146"
"227","23209.01","3.782771"
"228","23244.03","3.799458"
"229","23279.11","3.816104"
"230","23313.9","3.832792"
"231","23347.86","3.849479"
"232","23380.32","3.866104"
"233","23413.71","3.882792"
"234","23446.57","3.899458"
"235","23480.04","3.916146"
"236","23512.79","3.932792"
"237","23541.93","3.949417"
"238","23576.86","3.966104"
"239","23609.1","3.982812"
"240","23640.56","3.999479"
"241","23672.05","4.016125"
"242","23702.22","4.032771"
"243","23733.69","4.049438"
"244","23765.01","4.066125"
"245","23795.95","4.082812"
"246","23825.67","4.099479"
"247","23853.94","4.116104"
"248","23883.36","4.132771"
"249","23912.22","4.149458"
"250","23941.58","4.166125"
"251","23970.22","4.182792"
"252","23998.11","4.199417"
"253","24026.52","4.216104"
"254","24054.46","4.232791"
"255","24082.35","4.249479"
"256","24109.97","4.266125"
"257","24135.43","4.28275"
"258","24162.44","4.299438"
"259","24188.84","4.316125"
"260","24215.21","4.332792"
"261","24240.98","4.349479"
"262","24264.98","4.366104"
"263","24290.7","4.382792"
"264","24315.39","4.399458"
"265","24341.29","4.416146"
"266","24364.96","4.432792"
"267","24387.99","4.449417"
"268","24412.66","4.466104"
"269","24436.51","4.482812"
"270","24459.79","4.499458"
"271","24482.73","4.516146"
"272","24504.59","4.532771"
"273","24528.12","4.549459"
"274","24550.41","4.566125"
"275","24572.87","4.582792"
"276","24594.74","4.599479"
"277","24614.48","4.616104"
"278","24636.25","4.632771"
"279","24657.15","4.649458"
"280","24678.2","4.666146"
"281","24698.61","4.682792"
"282","24717.76","4.699417"
"283","24737.77","4.716104"
"284","24757.76","4.732791"
"285","24777.38","4.749458"
"286","24796.51","4.766146"
"287","24813.94","4.78275"
"288","24833.06","4.799438"
"289","24852.13","4.816125"
"290","24870.77","4.832792"
"291","24888.96","4.849479"
"292","24905.42","4.866104"
"293","24922.61","4.882792"
"294","24939.93","4.899458"
"295","24957.23","4.916146"
"296","24974.22","4.932792"
"297","24989.73","4.949417"
"298","25006.48","4.966104"
"299","25022.78","4.982812"
"300","25039.57","4.999479"
"301","25054.71","5.016125"
"302","25065","5.032771"
"303","25084.16","5.049438"
"304","25100.03","5.066125"
"305","25115.6","5.082792"
"306","25130.33","5.099479"
"307","25142.71","5.116104"
"308","25156.89","5.132771"
"309","25171.87","5.149458"
"310","25186.46","5.166146"
"311","25199.95","5.182792"
"312","25212.22","5.199417"
"313","25225.85","5.216125"
"314","25238.86","5.232791"
"315","25252.22","5.249479"
"316","25265.04","5.266125"
"317","25275.99","5.282771"
"318","25288.3","5.299438"
"319","25301.27","5.316125"
"320","25313.4","5.332792"
"321","25325.77","5.349479"
"322","25335.84","5.366104"
"323","25347.57","5.382792"
"324","25359.05","5.399458"
"325","25370.48","5.416146"
"326","25381.94","5.432792"
"327","25391.54","5.449417"
"328","25402.45","5.466104"
"329","25413.28","5.482812"
"330","25423.72","5.499458"
"331","25433.84","5.516146"
"332","25442.7","5.532771"
"333","25453.44","5.549438"
"334","25463.14","5.566125"
"335","25473.25","5.582812"
"336","25482.39","5.599479"
"337","25490.37","5.616104"
"338","25499.85","5.632771"
"339","25509.44","5.649458"
"340","25518.74","5.666125"
"341","25527.32","5.682792"
"342","25534.12","5.699417"
"343","25542.85","5.716104"
"344","25550.82","5.732791"
"345","25559.53","5.749479"
"346","25566.74","5.766125"
"347","25573.81","5.78275"
"348","25581.98","5.799438"
"349","25589.46","5.816125"
"350","25597.69","5.832792"
"351","25605.07","5.849479"
"352","25610.52","5.866104"
"353","25617.88","5.882792"
"354","25624.43","5.899458"
"355","25631.51","5.916146"
"356","25637.74","5.932792"
"357","25643.29","5.949417"
"358","25650.6","5.966125"
"359","25656.75","5.982812"
"360","25662.84","5.999458"
"361","25669.51","6.016146"
"362","25673.95","6.03275"
"363","25679.88","6.049438"
"364","25685.33","6.066125"
"365","25691.49","6.082812"
"366","25696.73","6.099479"
"367","25700.2","6.116104"
"368","25705.96","6.132771"
"369","25710.74","6.149458"
"370","25716.69","6.166146"
"371","25720.53","6.182812"
"372","25725.09","6.199417"
"373","25729.52","6.216104"
"374","25734.19","6.232791"
"375","25737.75","6.249479"
"376","25742.36","6.266125"
"377","25746.12","6.282771"
"378","25750.14","6.299459"
"379","25754.25","6.316125"
"380","25758.72","6.332792"
"381","25762.19","6.349479"
"382","25763.82","6.366104"
"383","25767.84","6.382771"
"384","25771.16","6.399458"
"385","25774.94","6.416146"
"386","25778.03","6.432792"
"387","25779.86","6.449417"
"388","25783.49","6.466104"
"389","25786.17","6.482812"
"390","25789.51","6.499479"
"391","25792.3","6.516125"
"392","25794.13","6.532771"
"393","25796.9","6.549438"
"394","25799.38","6.566125"
"395","25802.37","6.582792"
"396","25804.27","6.599479"
"397","25804.97","6.616104"
