"1 _ 1",,
"時間","試験力","ストローク"
"sec","N","mm"
"0","-0.2543131","0"
"1","119.6384","0.01610417"
"2","298.3491","0.03279167"
"3","532.9132","0.04945833"
"4","802.7951","0.066125"
"5","1084.542","0.08277083"
"6","1371.066","0.09945833"
"7","1661.285","0.116125"
"8","1953.673","0.1327917"
"9","2244.552","0.1494583"
"10","2532.363","0.1661042"
"11","2817.392","0.1827917"
"12","3097.423","0.1994583"
"13","3372.471","0.2161458"
"14","3639.324","0.2327917"
"15","3901.323","0.2494375"
"16","4162.073","0.266125"
"17","4420.678","0.2827917"
"18","4679.028","0.2994792"
"19","4935.741","0.316125"
"20","5192.82","0.3327708"
"21","5449.16","0.3494583"
"22","5705.19","0.366125"
"23","5959.813","0.3828125"
"24","6212.616","0.3994583"
"25","6464.696","0.4161042"
"26","6715.902","0.4327917"
"27","6965.494","0.4494583"
"28","7214.705","0.4661458"
"29","7461.715","0.4827708"
"30","7709.137","0.4994166"
"31","7956.521","0.516125"
"32","8201.146","0.5327917"
"33","8445.708","0.5494792"
"34","8687.949","0.566125"
"35","8928.545","0.5827708"
"36","9168.617","0.5994583"
"37","9406.845","0.616125"
"38","9644.302","0.6328125"
"39","9879.756","0.6494583"
"40","10114.24","0.6661041"
"41","10347.93","0.6827917"
"42","10580.09","0.6994583"
"43","10810.48","0.716125"
"44","11038.77","0.7327708"
"45","11266.62","0.7494166"
"46","11495.1","0.766125"
"47","11721.56","0.7827917"
"48","11947.33","0.7994583"
"49","12170.37","0.816125"
"50","12393.28","0.8327708"
"51","12616.44","0.8494583"
"52","12837.68","0.866125"
"53","13057.86","0.8828125"
"54","13277.17","0.8994583"
"55","13495.56","0.9160833"
"56","13713.22","0.9327708"
"57","13929.38","0.9494583"
"58","14145.21","0.9661458"
"59","14360.39","0.9827917"
"60","14573.95","0.9994166"
"61","14786.73","1.016125"
"62","14997.16","1.032792"
"63","15206.53","1.049458"
"64","15414.6","1.066125"
"65","15620.48","1.082771"
"66","15825.54","1.099458"
"67","16029.01","1.116104"
"68","16231.21","1.132792"
"69","16430.74","1.149458"
"70","16628.73","1.166104"
"71","16825.56","1.182792"
"72","17020.96","1.199458"
"73","17213.36","1.216146"
"74","17402.32","1.232771"
"75","17587.77","1.249417"
"76","17769.24","1.266125"
"77","17945.87","1.282792"
"78","18119.61","1.299479"
"79","18289.46","1.316125"
"80","18458.53","1.33275"
"81","18625.35","1.349458"
"82","18790.19","1.366125"
"83","18954.66","1.382792"
"84","19117.06","1.399458"
"85","19278.01","1.416104"
"86","19438.04","1.432792"
"87","19596.04","1.449458"
"88","19752.9","1.466125"
"89","19908.75","1.482792"
"90","20063.94","1.499417"
"91","20220.05","1.516125"
"92","20373.49","1.532792"
"93","20526.32","1.549479"
"94","20677.65","1.566125"
"95","20828.81","1.582771"
"96","20980.3","1.599458"
"97","21130.79","1.616125"
"98","21280.12","1.632792"
"99","21427.77","1.649458"
"100","21575.01","1.666104"
"101","21721","1.682771"
"102","21865.29","1.699437"
"103","22006.88","1.716125"
"104","22141.64","1.732792"
"105","22268","1.749417"
"106","22380.14","1.766125"
"107","22469.33","1.782792"
"108","22537.68","1.799479"
"109","22592.84","1.816125"
"110","22642.61","1.832771"
"111","22690.69","1.849458"
"112","22734.82","1.866125"
"113","22777.6","1.882813"
"114","22817.71","1.899458"
"115","22855.74","1.916083"
"116","22893.46","1.932792"
"117","22929.52","1.949458"
"118","22965.42","1.966146"
"119","22999.58","1.982792"
"120","23033.2","1.999417"
"121","23066.7","2.016125"
"122","23098.93","2.032792"
"123","23130.97","2.049479"
"124","23161.4","2.066125"
"125","23192.01","2.082771"
"126","23223.15","2.099458"
"127","23252.24","2.116104"
"128","23281.96","2.132813"
"129","23310.33","2.149479"
"130","23338.49","2.166104"
"131","23367.05","2.182771"
"132","23394.6","2.199458"
"133","23422.65","2.216146"
"134","23448.59","2.232771"
"135","23475.01","2.249417"
"136","23501.83","2.266125"
"137","23527.7","2.282812"
"138","23553.42","2.299479"
"139","23578.04","2.316125"
"140","23602.75","2.332771"
"141","23628.08","2.349458"
"142","23652.63","2.366125"
"143","23676.88","2.382792"
"144","23700.78","2.399458"
"145","23724.42","2.416104"
"146","23748.33","2.432792"
"147","23771.67","2.449458"
"148","23794.91","2.466146"
"149","23816.67","2.482792"
"150","23838.94","2.499417"
"151","23861.85","2.516125"
"152","23882.9","2.532812"
"153","23904.82","2.549479"
"154","23925.15","2.566125"
"155","23946.9","2.582771"
"156","23968.42","2.599458"
"157","23988.48","2.616125"
"158","24009.59","2.632792"
"159","24029.06","2.649479"
"160","24048.36","2.666083"
"161","24068.16","2.682771"
"162","24087.85","2.699458"
"163","24107.63","2.716146"
"164","24126.64","2.732792"
"165","24145.09","2.749417"
"166","24165.17","2.766125"
"167","24183.38","2.782792"
"168","24201.59","2.799479"
"169","24218.33","2.816125"
"170","24236.08","2.832771"
"171","24254.15","2.849458"
"172","24271.87","2.866125"
"173","24289.89","2.882792"
"174","24306.7","2.899458"
"175","24322.99","2.916104"
"176","24339.18","2.932792"
"177","24355.32","2.949458"
"178","24372.38","2.966146"
"179","24388.08","2.982792"
"180","24404","2.999438"
"181","24420.48","3.016125"
"182","24435.81","3.032792"
"183","24451.06","3.049479"
"184","24465.05","3.066125"
"185","24479.97","3.082771"
"186","24494.4","3.099458"
"187","24502.27","3.116125"
"188","24521.64","3.132792"
"189","24537.79","3.149479"
"190","24551.38","3.166104"
"191","24565.17","3.182792"
"192","24578.56","3.199458"
"193","24592.19","3.216146"
"194","24604.3","3.232792"
"195","24617.07","3.249417"
"196","24630.29","3.266125"
"197","24643.07","3.282812"
"198","24655.1","3.299479"
"199","24666.95","3.316125"
"200","24678.55","3.332771"
"201","24691.43","3.349458"
"202","24703.26","3.366104"
"203","24715.93","3.382792"
"204","24726.53","3.399458"
"205","24737.45","3.416104"
"206","24748.56","3.432771"
"207","24759.88","3.449458"
"208","24771.1","3.466146"
"209","24781","3.482792"
"210","24791.17","3.499438"
"211","24802.45","3.516125"
"212","24812.27","3.532792"
"213","24822.75","3.549479"
"214","24832.05","3.566125"
"215","24841.28","3.582771"
"216","24851.57","3.599458"
"217","24860.19","3.616125"
"218","24869.81","3.632792"
"219","24879.05","3.649458"
"220","24887.22","3.666104"
"221","24896.24","3.682792"
"222","24905.21","3.699437"
"223","24914.02","3.716146"
"224","24922","3.732792"
"225","24930.26","3.749417"
"226","24939.3","3.766104"
"227","24946.92","3.782792"
"228","24954.96","3.799479"
"229","24961.8","3.816146"
"230","24969.39","3.832771"
"231","24977.72","3.849458"
"232","24985.16","3.866125"
"233","24992.28","3.882813"
"234","24998.95","3.899458"
"235","25004.82","3.916104"
"236","25012.38","3.932792"
"237","25018.76","3.949458"
"238","25025.43","3.966146"
"239","25031.52","3.982771"
"240","25037.73","3.999417"
"241","25044.84","4.016125"
"242","25050.32","4.032792"
"243","25055.95","4.049479"
"244","25060.57","4.066125"
"245","25066.33","4.082771"
"246","25071.97","4.099458"
"247","25076.92","4.116125"
"248","25081.81","4.132813"
"249","25085.73","4.149479"
"250","25090.48","4.166104"
"251","25095.7","4.182792"
"252","25100.58","4.199458"
"253","25104.87","4.216146"
"254","25108.9","4.232791"
"255","25113","4.249417"
"256","25117.9","4.266125"
"257","25121.69","4.282813"
"258","25124.88","4.299479"
"259","25127.22","4.316125"
"260","25129.91","4.332771"
"261","25134.15","4.349458"
"262","25137.31","4.366104"
"263","25140.82","4.382813"
"264","25142.89","4.399458"
"265","25145.56","4.416104"
"266","25147.9","4.432771"
"267","25149.65","4.449458"
"268","25152.58","4.466146"
"269","25153.77","4.482791"
"270","25155.54","4.499417"
"271","25158.21","4.516125"
"272","25159.15","4.532792"
"273","25160.2","4.549479"
"274","25160.28","4.566125"
"275","25160.06","4.582771"
"276","25160.82","4.599458"
"277","25161.53","4.616125"
"278","25161.48","4.632792"
"279","25161.5","4.649479"
"280","25162.15","4.666104"
"281","25162.85","4.682792"
"282","25162.55","4.699458"
"283","25161.63","4.716146"
"284","25158.75","4.732791"
"285","25156.69","4.749417"
"286","25155.49","4.766125"
"287","25153","4.782792"
"288","25150.67","4.799479"
"289","25147.27","4.816125"
"290","25143.7","4.83275"
"291","25141.33","4.849458"
"292","25137.5","4.866125"
"293","25133.37","4.882792"
"294","25127.68","4.899458"
"295","25122.05","4.916104"
"296","25116.58","4.932771"
"297","25110.73","4.949458"
"298","25104.68","4.966146"
"299","25097.19","4.982791"
"300","25089.2","4.999417"
"301","25081.28","5.016125"
"302","25072.27","5.032792"
"303","25062.4","5.049479"
"304","25051.57","5.066125"
"305","25041.1","5.082771"
"306","25030.44","5.099458"
"307","25018.18","5.116125"
"308","25005.24","5.132813"
"309","24979.6","5.149479"
"310","24973.92","5.166104"
"311","24964.75","5.182792"
"312","24950.35","5.199458"
"313","24933.32","5.216146"
"314","24913.22","5.232791"
"315","24893.02","5.249417"
"316","24872.77","5.266125"
"317","24850.85","5.282813"
"318","24828.47","5.299479"
"319","24804.9","5.316125"
"320","24781.02","5.332771"
"321","24756.45","5.349458"
"322","24729.89","5.366125"
"323","24702.04","5.382792"
"324","24671.44","5.399458"
"325","24639.92","5.416104"
"326","24607.56","5.432792"
"327","24573.21","5.449458"
"328","24538.37","5.466146"
"328.95","-322.6996","5.480417"
