"1 _ 1",,
"時間","試験力","ストローク"
"sec","N","mm"
"0","-0.02384186","0"
"0.5","60.81263","0.01547917"
"1","178.9729","0.0321875"
"1.5","325.9579","0.04891667"
"2","485.9289","0.06558333"
"2.5","714.3895","0.08225"
"3","994.3326","0.098875"
"3.5","1292.904","0.1155417"
"4","1601.362","0.13225"
"4.5","1910.901","0.1488958"
"5","2216.379","0.1655833"
"5.5","2514.418","0.1821875"
"6","2808.126","0.198875"
"6.5","3094.808","0.2155833"
"7","3370.182","0.23225"
"7.5","3633.642","0.2489375"
"8","3890.657","0.2655208"
"8.5","4143.047","0.2821875"
"9","4388.07","0.2989167"
"9.5","4622.698","0.3155625"
"10","4845.556","0.3322708"
"10.5","5056.635","0.348875"
"11","5264.441","0.3655208"
"11.5","5467.733","0.38225"
"12","5667.766","0.3988958"
"12.5","5866.87","0.4155833"
"13","6063.684","0.4322292"
"13.5","6259.998","0.4488541"
"14","6454.173","0.4655833"
"14.5","6644.002","0.4822292"
"15","6832.21","0.4989375"
"15.5","7013.941","0.5155208"
"16","7194.439","0.5321875"
"16.5","7369.328","0.5488958"
"17","7537.833","0.5655833"
"17.5","7698.528","0.5822708"
"18","7852.92","0.598875"
"18.5","8006.747","0.6155208"
"19","8158.104","0.63225"
"19.5","8305.805","0.6488958"
"20","8450.175","0.6655833"
"20.5","8591.278","0.6822083"
"21","8730.714","0.698875"
"21.5","8868.687","0.7155833"
"22","9005.697","0.7322292"
"22.5","9140.396","0.7489375"
"23","9271.138","0.7655417"
"23.5","9401.719","0.7821875"
"24","9528.685","0.7989166"
"24.5","9649.483","0.8155833"
"25","9762.59","0.8322708"
"25.5","9868.257","0.848875"
"26","9976.101","0.8655208"
"26.5","10081.93","0.88225"
"27","10186.26","0.8989167"
"27.5","10291.75","0.9155833"
"28","10397","0.9322083"
"28.5","10503.32","0.9488541"
"29","10608.5","0.9655625"
"29.5","10709.75","0.98225"
"30","10806.85","0.9989375"
"30.5","10901.04","1.015542"
"31","10997.59","1.032167"
"31.5","11095.02","1.048917"
"32","11193.31","1.065583"
"32.5","11292.3","1.082271"
"33","11388.69","1.098875"
"33.5","11484.31","1.115542"
"34","11577.75","1.13225"
"34.5","11667.82","1.148896"
"35","11757.9","1.165583"
"35.5","11845.8","1.182208"
"36","11933.35","1.198875"
"36.5","12018.25","1.215583"
"37","12101.89","1.232229"
"37.5","12183.18","1.248937"
"38","12260.83","1.265521"
"38.5","12340.19","1.282187"
"39","12419.06","1.298917"
"39.5","12495.02","1.315583"
"40","12570.22","1.332271"
"40.5","12642.63","1.348875"
"41","12715.65","1.365521"
"41.5","12788.7","1.38225"
"42","12859.88","1.398896"
"42.5","12929.52","1.415583"
"43","12995.93","1.432229"
"43.5","13063.84","1.448875"
"44","13129.99","1.465562"
"44.5","13194.82","1.482229"
"45","13258.2","1.498917"
"45.5","13317.58","1.515542"
"46","13378.27","1.532187"
"46.5","13438.12","1.548917"
"47","13496.11","1.565583"
"47.5","13553.07","1.582271"
"48","13607.65","1.598875"
"48.5","13664.29","1.615542"
"49","13719.11","1.63225"
"49.5","13772.45","1.648896"
"50","13824.57","1.665604"
"50.5","13873.29","1.682208"
"51","13923.76","1.698875"
"51.5","13972.89","1.715583"
"52","14020.86","1.73225"
"52.5","14067.72","1.748937"
"53","14110.97","1.765542"
"53.5","14155.45","1.782187"
"54","14199.3","1.798917"
"54.5","14241.46","1.815583"
"55","14281.48","1.832271"
"55.5","14317.62","1.848875"
"55.95","-124.5817","1.860958"
