1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
0,0,-0.001120567,0,-0.007263819,0,-0.001660983
0.2,0.002375,0.02113183,0.005208333,0.08424918,0.002375,0.01678467
0.4,0.006041666,0.1460473,0.0121875,0.351572,0.0060625,0.1215696
0.6,0.0094375,0.2516508,0.018875,0.5924702,0.0094375,0.2114455
0.8,0.01277083,0.3514131,0.02552083,0.8261124,0.01277083,0.2990961
1,0.01608333,0.4434029,0.03225,1.056115,0.01610417,0.3860315
1.2,0.01941667,0.5276521,0.03889583,1.269428,0.0194375,0.4704475
1.4,0.02279167,0.6027222,0.0455,1.461005,0.02277083,0.5524238
1.6,0.026125,0.6616036,0.05225,1.631681,0.026125,0.6308635
1.8,0.02945833,0.7060607,0.05889583,1.759807,0.02945833,0.6987731
2,0.03279167,0.73963,0.0655,1.855675,0.03279167,0.7557631
2.2,0.03610417,0.7669846,0.07225,1.94629,0.036125,0.8075158
2.4,0.0394375,0.7909775,0.07891667,2.023594,0.0394375,0.8526484
2.6,0.04279166,0.813667,0.0855,2.08896,0.04275,0.893275
2.8,0.046125,0.8336067,0.09227083,2.147079,0.04610417,0.9301822
3,0.04945833,0.8513927,0.09891666,2.193411,0.04945833,0.9636641
3.2,0.05279167,0.8693854,0.1055208,2.231717,0.05279167,0.9946664
3.4,0.05610416,0.8855343,0.11225,2.268736,0.056125,1.024508
3.6,0.05941667,0.900952,0.1189167,2.301184,0.0594375,1.053023
3.8,0.06279167,0.9178798,0.1255,2.329326,0.06277084,1.080561
4,0.06614583,0.9336312,0.13225,2.359692,0.066125,1.107597
4.2,0.06945834,0.9480715,0.1388958,2.388167,0.06947917,1.13399
4.4,0.07279167,0.9631872,0.1455417,2.414703,0.07279167,1.15842
4.6,0.076125,0.9775877,0.1522708,2.441375,0.07614584,1.182803
4.8,0.0794375,0.9920597,0.1589167,2.46799,0.07945833,1.206223
5,0.08279166,1.006468,0.1655417,2.491824,0.08277083,1.228658
5.2,0.08614583,1.021322,0.1722083,2.514402,0.08610416,1.251276
5.4,0.08945833,1.034737,0.1789167,2.541073,0.08945833,1.273878
5.6,0.0928125,1.048271,0.1855417,2.563755,0.09279167,1.294764
5.8,0.096125,1.061392,0.1922083,2.585204,0.096125,1.315045
6,0.09941667,1.074028,0.1989167,2.611129,0.09945833,1.335152
6.2,0.1027708,1.087666,0.2055625,2.632229,0.1027708,1.354313
6.4,0.106125,1.101319,0.2121875,2.651429,0.1060833,1.373784
6.6,0.1094583,1.11386,0.2189375,2.677123,0.1094792,1.39389
6.8,0.1127917,1.126369,0.2255833,2.697134,0.1127917,1.412002
7,0.116125,1.138798,0.2321875,2.71554,0.116125,1.429907
7.2,0.1194375,1.150767,0.2389375,2.738778,0.1194583,1.448202
7.4,0.1227708,1.16272,0.2456042,2.758638,0.1227708,1.46536
7.6,0.126125,1.175531,0.2521667,2.775129,0.1261042,1.482574
7.8,0.1294792,1.186792,0.2589167,2.798041,0.1294583,1.500416
8,0.1327917,1.198276,0.2655833,2.816765,0.1328125,1.517948
8.2,0.136125,1.209927,0.2721875,2.834988,0.136125,1.533437
8.4,0.1394375,1.221164,0.2789375,2.855738,0.1394792,1.549999
8.6,0.14275,1.231909,0.2856041,2.873914,0.1427917,1.566068
8.8,0.146125,1.243512,0.2921875,2.891064,0.1461042,1.58151
9,0.1494583,1.255496,0.2989167,2.909915,0.1494583,1.597706
9.2,0.1527917,1.26578,0.3055833,2.929179,0.1528125,1.613267
9.4,0.156125,1.276461,0.3121875,2.945693,0.156125,1.628351
9.6,0.1594375,1.287047,0.3188958,2.963575,0.1594792,1.643411
9.8,0.16275,1.29679,0.3255625,2.982394,0.1627917,1.658416
10,0.166125,1.307909,0.3322083,2.999663,0.1661042,1.672665
10.2,0.1694583,1.319027,0.3388958,3.016178,0.1694375,1.687765
10.4,0.1727917,1.329096,0.3456042,3.035219,0.1727917,1.702531
10.6,0.176125,1.33903,0.35225,3.051464,0.176125,1.716932
10.8,0.1794583,1.349068,0.358875,3.066524,0.1794583,1.730641
11,0.1827708,1.358453,0.3655833,3.085573,0.1827917,1.744707
11.2,0.1861042,1.368531,0.3722292,3.101722,0.1861042,1.758234
11.4,0.1894792,1.379347,0.3788333,3.115582,0.1894375,1.772094
11.6,0.1927917,1.388184,0.3855833,3.134894,0.1928125,1.786685
11.8,0.196125,1.397459,0.39225,3.150392,0.1961458,1.799917
12,0.1994583,1.407274,0.398875,3.165094,0.1994583,1.812522
12.2,0.2027708,1.41631,0.4056042,3.183222,0.2028125,1.825976
12.4,0.2061042,1.425266,0.41225,3.198441,0.2061042,1.838144
12.6,0.2094583,1.435336,0.4188333,3.212182,0.2094375,1.850955
12.8,0.2127917,1.444427,0.4255833,3.231152,0.2127708,1.864886
13,0.216125,1.453026,0.43225,3.245966,0.216125,1.878142
13.2,0.2194583,1.461943,0.4388333,3.260438,0.2194583,1.890151
13.4,0.2227708,1.470296,0.4456042,3.277906,0.2227917,1.902612
13.6,0.2260833,1.478696,0.45225,3.293252,0.226125,1.914509
13.8,0.2294583,1.488519,0.4588542,3.307819,0.2294167,1.92643
14,0.2327917,1.497221,0.4656042,3.324032,0.2327708,1.939432
14.2,0.236125,1.505057,0.47225,3.339656,0.2361458,1.952418
14.4,0.2394583,1.513704,0.4788958,3.354232,0.2394583,1.963536
14.6,0.2427917,1.521905,0.4855833,3.368457,0.2427917,1.975616
14.8,0.2461042,1.529757,0.49225,3.384733,0.246125,1.986806
15,0.2494583,1.538459,0.498875,3.39911,0.2494375,1.998337
15.2,0.2527917,1.546828,0.5055625,3.4127,0.2527708,2.010274
15.4,0.256125,1.554879,0.5122291,3.429127,0.256125,2.022934
15.6,0.2594583,1.562746,0.5188958,3.443503,0.2594792,2.033909
15.8,0.2627917,1.570455,0.5255417,3.456609,0.2628125,2.045147
16,0.2660833,1.577608,0.53225,3.474744,0.266125,2.056392
16.2,0.2694375,1.586,0.5388958,3.487802,0.2694375,2.066986
16.4,0.2727917,1.59444,0.5455208,3.499707,0.2727708,2.078366
16.6,0.2761458,1.601831,0.55225,3.51793,0.276125,2.08985
16.8,0.2794583,1.609087,0.5589167,3.530653,0.2794792,2.101398
17,0.2827917,1.61682,0.5655,3.543361,0.2827917,2.111642
17.2,0.2861042,1.623861,0.57225,3.560909,0.286125,2.122426
17.4,0.2894375,1.631308,0.5789167,3.574435,0.2894375,2.132726
17.6,0.2927917,1.639883,0.5855208,3.586586,0.29275,2.143176
17.8,0.2961458,1.647115,0.5922917,3.604102,0.296125,2.154525
18,0.2994583,1.654021,0.5989166,3.616564,0.2994583,2.165524
18.2,0.3027917,1.66107,0.6055208,3.629716,0.3027917,2.175291
18.4,0.3061042,1.668278,0.6122708,3.644768,0.306125,2.185702
18.6,0.3094375,1.674946,0.6189166,3.659384,0.3094375,2.195565
18.8,0.3127917,1.682981,0.6255,3.671074,0.3127708,2.205769
19,0.3161458,1.689816,0.63225,3.686794,0.316125,2.216498
19.2,0.3194583,1.696372,0.6389167,3.700884,0.3194792,2.227314
19.4,0.3228125,1.703827,0.6455417,3.713552,0.3227917,2.237193
19.6,0.326125,1.710304,0.65225,3.727468,0.3261458,2.24692
19.8,0.3294375,1.716614,0.6589375,3.74186,0.3294583,2.256918
20,0.3327917,1.724251,0.6655416,3.754918,0.33275,2.266169
