"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"0","-0.001660983","0"
"0.2","0.01678467","0.002375"
"0.4","0.1215696","0.0060625"
"0.6","0.2114455","0.0094375"
"0.8","0.2990961","0.01277083"
"1","0.3860315","0.01610417"
"1.2","0.4704475","0.0194375"
"1.4","0.5524238","0.02277083"
"1.6","0.6308635","0.026125"
"1.8","0.6987731","0.02945833"
"2","0.7557631","0.03279167"
"2.2","0.8075158","0.036125"
"2.4","0.8526484","0.0394375"
"2.6","0.893275","0.04275"
"2.8","0.9301822","0.04610417"
"3","0.9636641","0.04945833"
"3.2","0.9946664","0.05279167"
"3.4","1.024508","0.056125"
"3.6","1.053023","0.0594375"
"3.8","1.080561","0.06277084"
"4","1.107597","0.066125"
"4.2","1.13399","0.06947917"
"4.4","1.15842","0.07279167"
"4.6","1.182803","0.07614584"
"4.8","1.206223","0.07945833"
"5","1.228658","0.08277083"
"5.2","1.251276","0.08610416"
"5.4","1.273878","0.08945833"
"5.6","1.294764","0.09279167"
"5.8","1.315045","0.096125"
"6","1.335152","0.09945833"
"6.2","1.354313","0.1027708"
"6.4","1.373784","0.1060833"
"6.6","1.39389","0.1094792"
"6.8","1.412002","0.1127917"
"7","1.429907","0.116125"
"7.2","1.448202","0.1194583"
"7.4","1.46536","0.1227708"
"7.6","1.482574","0.1261042"
"7.8","1.500416","0.1294583"
"8","1.517948","0.1328125"
"8.2","1.533437","0.136125"
"8.4","1.549999","0.1394792"
"8.6","1.566068","0.1427917"
"8.8","1.58151","0.1461042"
"9","1.597706","0.1494583"
"9.2","1.613267","0.1528125"
"9.4","1.628351","0.156125"
"9.6","1.643411","0.1594792"
"9.8","1.658416","0.1627917"
"10","1.672665","0.1661042"
"10.2","1.687765","0.1694375"
"10.4","1.702531","0.1727917"
"10.6","1.716932","0.176125"
"10.8","1.730641","0.1794583"
"11","1.744707","0.1827917"
"11.2","1.758234","0.1861042"
"11.4","1.772094","0.1894375"
"11.6","1.786685","0.1928125"
"11.8","1.799917","0.1961458"
"12","1.812522","0.1994583"
"12.2","1.825976","0.2028125"
"12.4","1.838144","0.2061042"
"12.6","1.850955","0.2094375"
"12.8","1.864886","0.2127708"
"13","1.878142","0.216125"
"13.2","1.890151","0.2194583"
"13.4","1.902612","0.2227917"
"13.6","1.914509","0.226125"
"13.8","1.92643","0.2294167"
"14","1.939432","0.2327708"
"14.2","1.952418","0.2361458"
"14.4","1.963536","0.2394583"
"14.6","1.975616","0.2427917"
"14.8","1.986806","0.246125"
"15","1.998337","0.2494375"
"15.2","2.010274","0.2527708"
"15.4","2.022934","0.256125"
"15.6","2.033909","0.2594792"
"15.8","2.045147","0.2628125"
"16","2.056392","0.266125"
"16.2","2.066986","0.2694375"
"16.4","2.078366","0.2727708"
"16.6","2.08985","0.276125"
"16.8","2.101398","0.2794792"
"17","2.111642","0.2827917"
"17.2","2.122426","0.286125"
"17.4","2.132726","0.2894375"
"17.6","2.143176","0.29275"
"17.8","2.154525","0.296125"
"18","2.165524","0.2994583"
"18.2","2.175291","0.3027917"
"18.4","2.185702","0.306125"
"18.6","2.195565","0.3094375"
"18.8","2.205769","0.3127708"
"19","2.216498","0.316125"
"19.2","2.227314","0.3194792"
"19.4","2.237193","0.3227917"
"19.6","2.24692","0.3261458"
"19.8","2.256918","0.3294583"
"20","2.266169","0.33275"
"20.2","2.276158","0.3361042"
"20.4","2.287022","0.3394583"
"20.6","2.296631","0.3427917"
"20.8","2.306191","0.346125"
"21","2.31564","0.3494375"
"21.2","2.32478","0.3527708"
"21.4","2.334507","0.3561042"
"21.6","2.344735","0.3594583"
"21.8","2.354185","0.3627917"
"22","2.363412","0.366125"
"22.2","2.372813","0.3694583"
"22.4","2.381547","0.37275"
"22.6","2.390695","0.3760833"
"22.8","2.400501","0.3794583"
"23","2.409991","0.3828125"
"23.2","2.41909","0.386125"
"23.4","2.427483","0.3894792"
"23.6","2.436543","0.3927917"
"23.8","2.444871","0.3961042"
"24","2.454631","0.3994583"
"24.2","2.464128","0.4028125"
"24.4","2.472584","0.4061458"
"24.6","2.481254","0.4094792"
"24.8","2.489845","0.4127917"
"25","2.497784","0.4160833"
"25.2","2.506836","0.4194375"
"25.4","2.516357","0.4228125"
