"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"0","-0.007263819","0"
"0.2","0.08424918","0.005208333"
"0.4","0.351572","0.0121875"
"0.6","0.5924702","0.018875"
"0.8","0.8261124","0.02552083"
"1","1.056115","0.03225"
"1.2","1.269428","0.03889583"
"1.4","1.461005","0.0455"
"1.6","1.631681","0.05225"
"1.8","1.759807","0.05889583"
"2","1.855675","0.0655"
"2.2","1.94629","0.07225"
"2.4","2.023594","0.07891667"
"2.6","2.08896","0.0855"
"2.8","2.147079","0.09227083"
"3","2.193411","0.09891666"
"3.2","2.231717","0.1055208"
"3.4","2.268736","0.11225"
"3.6","2.301184","0.1189167"
"3.8","2.329326","0.1255"
"4","2.359692","0.13225"
"4.2","2.388167","0.1388958"
"4.4","2.414703","0.1455417"
"4.6","2.441375","0.1522708"
"4.8","2.46799","0.1589167"
"5","2.491824","0.1655417"
"5.2","2.514402","0.1722083"
"5.4","2.541073","0.1789167"
"5.6","2.563755","0.1855417"
"5.8","2.585204","0.1922083"
"6","2.611129","0.1989167"
"6.2","2.632229","0.2055625"
"6.4","2.651429","0.2121875"
"6.6","2.677123","0.2189375"
"6.8","2.697134","0.2255833"
"7","2.71554","0.2321875"
"7.2","2.738778","0.2389375"
"7.4","2.758638","0.2456042"
"7.6","2.775129","0.2521667"
"7.8","2.798041","0.2589167"
"8","2.816765","0.2655833"
"8.2","2.834988","0.2721875"
"8.4","2.855738","0.2789375"
"8.6","2.873914","0.2856041"
"8.8","2.891064","0.2921875"
"9","2.909915","0.2989167"
"9.2","2.929179","0.3055833"
"9.4","2.945693","0.3121875"
"9.6","2.963575","0.3188958"
"9.8","2.982394","0.3255625"
"10","2.999663","0.3322083"
"10.2","3.016178","0.3388958"
"10.4","3.035219","0.3456042"
"10.6","3.051464","0.35225"
"10.8","3.066524","0.358875"
"11","3.085573","0.3655833"
"11.2","3.101722","0.3722292"
"11.4","3.115582","0.3788333"
"11.6","3.134894","0.3855833"
"11.8","3.150392","0.39225"
"12","3.165094","0.398875"
"12.2","3.183222","0.4056042"
"12.4","3.198441","0.41225"
"12.6","3.212182","0.4188333"
"12.8","3.231152","0.4255833"
"13","3.245966","0.43225"
"13.2","3.260438","0.4388333"
"13.4","3.277906","0.4456042"
"13.6","3.293252","0.45225"
"13.8","3.307819","0.4588542"
"14","3.324032","0.4656042"
"14.2","3.339656","0.47225"
"14.4","3.354232","0.4788958"
"14.6","3.368457","0.4855833"
"14.8","3.384733","0.49225"
"15","3.39911","0.498875"
"15.2","3.4127","0.5055625"
"15.4","3.429127","0.5122291"
"15.6","3.443503","0.5188958"
"15.8","3.456609","0.5255417"
"16","3.474744","0.53225"
"16.2","3.487802","0.5388958"
"16.4","3.499707","0.5455208"
"16.6","3.51793","0.55225"
"16.8","3.530653","0.5589167"
"17","3.543361","0.5655"
"17.2","3.560909","0.57225"
"17.4","3.574435","0.5789167"
"17.6","3.586586","0.5855208"
"17.8","3.604102","0.5922917"
"18","3.616564","0.5989166"
"18.2","3.629716","0.6055208"
"18.4","3.644768","0.6122708"
"18.6","3.659384","0.6189166"
"18.8","3.671074","0.6255"
"19","3.686794","0.63225"
"19.2","3.700884","0.6389167"
"19.4","3.713552","0.6455417"
"19.6","3.727468","0.65225"
"19.8","3.74186","0.6589375"
"20","3.754918","0.6655416"
"20.2","3.7666","0.6722083"
"20.4","3.783901","0.6789166"
"20.6","3.796442","0.6855416"
"20.8","3.808689","0.6922083"
"21","3.825148","0.6989167"
"21.2","3.837768","0.7055833"
"21.4","3.848886","0.7121875"
"21.6","3.866299","0.7189583"
"21.8","3.878554","0.7256042"
"22","3.889537","0.7321875"
"22.2","3.904835","0.7389375"
"22.4","3.918068","0.7456042"
"22.6","3.928081","0.7521666"
"22.8","3.944556","0.7589375"
"23","3.956397","0.7655833"
"23.2","3.969352","0.7722083"
"23.4","3.983776","0.7789167"
"23.6","3.996778","0.7855833"
"23.8","4.008707","0.7921667"
"24","4.021986","0.7989166"
"24.2","4.036244","0.8055833"
"24.4","4.048181","0.8121875"
"24.6","4.061834","0.8188958"
"24.8","4.075964","0.8255625"
"25","4.088783","0.8322083"
"25.2","4.100069","0.8388958"
"25.4","4.115812","0.8456042"
"25.6","4.127526","0.85225"
"25.8","4.138478","0.8588958"
"26","4.153434","0.8655833"
"26.2","4.165133","0.8722292"
"26.4","4.175743","0.8788542"
"26.6","4.191796","0.8855833"
"26.8","4.203185","0.89225"
"27","4.214517","0.898875"
"27.2","4.229768","0.9056042"
"27.4","4.241554","0.91225"
"27.6","4.251774","0.9188333"
"27.8","4.267684","0.9255833"
"28","4.279693","0.9322292"
"28.2","4.290732","0.9388333"
"28.4","4.305911","0.9456041"
"28.6","4.318611","0.95225"
"28.8","4.329316","0.9588333"
"29","4.343645","0.9656042"
"29.2","4.355439","0.97225"
"29.4","4.367661","0.9788958"
"29.6","4.37932","0.9855833"
"29.8","4.393665","0.9922708"
"30","4.40503","0.998875"
"30.2","4.415902","1.005563"
"30.4","4.430532","1.01225"
"30.6","4.442247","1.018896"
"30.8","4.453722","1.025563"
"31","4.468378","1.03225"
"31.2","4.48029","1.038917"
"31.4","4.489478","1.0455"
"31.6","4.505539","1.05225"
"31.8","4.516172","1.058896"
"32","4.526687","1.065521"
"32.2","4.541794","1.07225"
"32.4","4.553739","1.078917"
"32.6","4.563586","1.0855"
"32.8","4.578876","1.092271"
"33","4.589796","1.098917"
"33.2","4.600509","1.105521"
"33.4","4.613932","1.11225"
"33.6","4.626521","1.118937"
"33.8","4.637074","1.1255"
"34","4.650084","1.13225"
"34.2","4.662839","1.138896"
"34.4","4.674586","1.145542"
"34.6","4.686189","1.15225"
"34.8","4.698976","1.158917"
"35","4.710349","1.165563"
"35.2","4.719798","1.172208"
"35.4","4.734667","1.178896"
"35.6","4.745468","1.185542"
"35.8","4.75595","1.192229"
"36","4.77043","1.198917"
"36.2","4.781953","1.205583"
"36.4","4.791196","1.212208"
"36.6","4.806813","1.218938"
"36.8","4.816651","1.225604"
"37","4.827118","1.232208"
"37.2","4.840954","1.238937"
"37.4","4.851922","1.245604"
"37.6","4.861537","1.252167"
"37.8","4.876494","1.258937"
"38","4.886723","1.265583"
"38.2","4.898047","1.272187"
"38.4","4.911057","1.278937"
"38.6","4.922644","1.285583"
"38.8","4.933127","1.292187"
"39","4.945111","1.298917"
"39.2","4.957914","1.305583"
"39.4","4.968294","1.312187"
"39.6","4.979619","1.318896"
"39.8","4.992851","1.325583"
"40","5.003691","1.332208"
"40.2","5.01461","1.338896"
"40.4","5.028192","1.345604"
"40.6","5.03912","1.35225"
"40.8","5.048776","1.358896"
"41","5.062755","1.365583"
"41.2","5.072466","1.372229"
"41.4","5.081622","1.378854"
"41.6","5.09735","1.385604"
"41.8","5.107172","1.392229"
"42","5.117003","1.398854"
"42.2","5.13111","1.405604"
"42.4","5.141958","1.41225"
"42.6","5.150795","1.418833"
"42.8","5.165458","1.425583"
"43","5.176425","1.43225"
"43.2","5.185596","1.438854"
"43.4","5.199584","1.445583"
"43.6","5.211234","1.45225"
"43.8","5.220667","1.458854"
"44","5.233089","1.465604"
"44.2","5.24466","1.47225"
"44.4","5.255946","1.478896"
"44.6","5.266603","1.485583"
"44.8","5.279104","1.49225"
"45","5.289205","1.498875"
"45.2","5.299815","1.505562"
"45.4","5.313055","1.51225"
"45.6","5.323362","1.518917"
"45.8","5.333233","1.525542"
"46","5.346838","1.53225"
"46.2","5.357552","1.538917"
"46.4","5.365618","1.5455"
"46.6","5.380352","1.55225"
"46.8","5.390382","1.558896"
"47","5.399903","1.5655"
"47.2","5.413866","1.57225"
"47.4","5.424166","1.578917"
"47.6","5.433384","1.585521"
"47.8","5.447873","1.592271"
"48","5.45698","1.598917"
"48.2","5.466811","1.605521"
"48.4","5.479805","1.61225"
"48.6","5.490565","1.618917"
"48.8","5.499419","1.6255"
"49","5.512309","1.63225"
"49.2","5.523761","1.638896"
"49.4","5.533902","1.645521"
"49.6","5.544909","1.65225"
"49.8","5.556544","1.658917"
"50","5.566605","1.665542"
"50.2","5.575999","1.672208"
"50.4","5.5897","1.678896"
"50.6","5.599737","1.685542"
"50.8","5.60921","1.692208"
"51","5.622816","1.698938"
"51.2","5.633243","1.705562"
"51.4","5.641556","1.712208"
"51.6","5.65637","1.718938"
"51.8","5.665239","1.725604"
"52","5.674338","1.732208"
"52.2","5.688103","1.738958"
"52.4","5.698887","1.745604"
"52.6","5.706008","1.752167"
"52.8","5.720639","1.758937"
"53","5.72962","1.765563"
"53.2","5.739681","1.772187"
"53.4","5.751792","1.778937"
"53.6","5.76241","1.785604"
"53.8","5.771184","1.792187"
"54","5.781849","1.798917"
"54.2","5.793802","1.805562"
"54.4","5.803648","1.812187"
"54.6","5.814441","1.818896"
"54.8","5.826473","1.825562"
"55","5.836669","1.832208"
"55.2","5.846675","1.838896"
"55.4","5.859629","1.845604"
"55.6","5.869158","1.852229"
"55.8","5.87817","1.858875"
"56","5.891418","1.865583"
"56.2","5.90086","1.87225"
"56.4","5.909109","1.878854"
"56.6","5.923811","1.885583"
"56.8","5.93249","1.89225"
"57","5.941606","1.898854"
"57.2","5.955163","1.905604"
"57.4","5.964613","1.91225"
"57.6","5.973212","1.918813"
"57.8","5.987016","1.925583"
"58","5.996092","1.932229"
"58.2","6.00632","1.938854"
"58.4","6.018368","1.945583"
"58.6","6.028859","1.95225"
"58.8","6.038006","1.958854"
"59","6.049633","1.965604"
"59.2","6.060298","1.97225"
"59.4","6.069788","1.978896"
"59.6","6.080142","1.985583"
"59.8","6.091968","1.99225"
"60","6.101235","1.998875"
"60.2","6.110668","2.005583"
"60.4","6.123368","2.01225"
"60.6","6.133453","2.018917"
"60.8","6.141909","2.025563"
"61","6.154696","2.032271"
"61.2","6.164551","2.038917"
"61.4","6.171378","2.0455"
"61.6","6.185802","2.05225"
"61.8","6.194592","2.058896"
"62","6.203326","2.0655"
"62.2","6.215978","2.07225"
"62.4","6.226222","2.078917"
"62.6","6.234169","2.0855"
"62.8","6.248498","2.092292"
"63","6.256954","2.098917"
