, kp = 27.000000  ti = 0.000000  td = 0.000000
Time , RPM
0,0
0,0
0.01,119
0.02,449
0.03,688
0.04,957
0.05,1137
0.06,1287
0.07,1467
0.08,1586
0.09,1676
0.1,1764
0.11,1826
0.12,1886
0.13,1946
0.14,1915
0.15,2005
0.16,2035
0.17,2035
0.18,2096
0.19,2065
0.2,2095
0.21,2125
0.22,2125
0.23,2125
0.24,2125
0.25,2125
0.26,2123
0.27,2155
0.28,2155
0.29,2155
0.3,2155
0.31,2153
0.32,2155
0.33,2185
0.34,2155
0.35,2185
0.36,2155
0.37,2125
0.38,2155
0.39,2185
0.4,2185
0.41,2183
0.42,2155
0.43,2185
0.44,2185
0.45,2155
0.46,2153
0.47,2185
0.481,2155
0.491,2153
0.501,2185
0.511,2185
0.521,2185
0.531,2155
0.541,2185
0.551,2185
0.561,2185
0.571,2153
0.581,2185
0.591,2155
0.601,2185
0.611,2185
0.621,2155
0.631,2153
0.641,2185
0.651,2155
0.661,2185
0.671,2185
0.681,2155
0.691,2153
0.701,2185
0.711,2184
0.721,2155
0.731,2185
0.741,2185
0.751,2155
0.761,2185
0.771,2184
0.781,2155
0.791,2185
0.801,2155
0.811,2153
0.821,2185
0.831,2185
0.841,2155
0.851,2185
0.861,2155
0.871,2153
0.881,2185
0.891,2185
0.901,2155
0.911,2153
0.921,2185
0.932,2155
0.942,2153
0.952,2185
0.962,2185
0.972,2155
0.982,2185
0.992,2185
1.002,2155
1.012,2185
1.022,2155
1.032,2185
1.042,2155
1.052,2153
1.062,2185
1.072,2155
1.082,2185
1.092,2155
1.102,2153
1.112,2185
1.122,2184
1.132,2155
1.142,2183
1.152,2155
1.162,2185
1.172,2155
1.182,2185
1.192,2155
1.202,2185
1.212,2155
1.222,2153
1.232,2185
1.242,2155
1.252,2183
1.262,2155
1.272,2185
1.282,2155
1.292,2185
1.302,2155
1.312,2184
1.322,2155
1.332,2185
1.342,2155
1.352,2155
1.362,2153
1.372,2184
1.383,2155
1.393,2185
1.403,2155
1.413,2155
1.423,2153
1.433,2185
1.443,2155
1.453,2185
1.463,2155
1.473,2185
1.483,2155
1.493,2185
1.503,2155
1.513,2183
1.523,2155
1.533,2155
1.543,2185
1.553,2155
1.563,2185
1.573,2155
1.583,2155
1.593,2153
1.603,2185
1.613,2153
1.623,2185
1.633,2153
1.643,2155
1.653,2185
1.663,2155
1.673,2185
1.683,2155
1.693,2155
1.703,2153
1.713,2183
1.723,2155
1.733,2155
1.743,2153
1.753,2155
1.763,2153
1.773,2185
1.783,2155
1.793,2185
1.803,2155
1.813,2185
1.823,2155
1.834,2185
1.844,2155
1.854,2155
1.864,2153
1.874,2184
1.884,2155
1.894,2185
1.904,2155
1.914,2155
1.924,2185
1.934,2155
1.944,2183
1.954,2155
1.964,2155
1.974,2183
1.984,2155
1.994,2155
2.004,2153
2.014,2155
2.024,2183
2.034,2155
2.044,2185
2.054,2153
2.064,2155
2.074,2184
2.084,2155
2.094,2155
2.104,2185
2.114,2155
2.124,2155
2.134,2155
2.144,2153
2.154,2155
2.164,2185
2.174,2155
2.184,2155
2.194,2185
2.204,2155
2.214,2155
2.224,2153
2.234,2155
2.244,2155
2.254,2153
2.264,2155
2.275,2153
2.285,2183
2.295,2155
2.305,2155
2.315,2185
2.325,2155
2.335,2185
2.345,2153
2.355,2155
2.365,2155
2.375,2153
2.385,2155
2.395,2185
2.405,2155
2.415,2155
2.425,2185
2.435,2155
2.445,2155
2.455,2153
2.465,2155
2.475,2155
2.485,2153
2.495,2155
2.505,2153
2.515,2155
2.525,2184
2.535,2155
2.545,2185
2.555,2155
2.565,2155
2.575,2183
2.585,2155
2.595,2155
2.605,2185
2.615,2155
2.625,2155
2.635,2155
2.645,2153
2.655,2155
2.665,2185
2.675,2155
2.685,2155
2.695,2155
2.705,2153
2.715,2155
2.726,2183
2.736,2155
2.746,2155
2.756,2185
2.766,2155
