, kp = 2.700000  ti = 0.000000  td = 0.000000
Time , RPM
0,0
0,0
0.01,0
0.02,29
0.03,0
0.04,0
0.05,0
0.06,29
0.07,0
0.08,29
0.09,29
0.1,29
0.11,29
0.12,29
0.13,59
0.14,59
0.15,59
0.16,89
0.17,89
0.18,89
0.19,59
0.2,89
0.21,89
0.22,89
0.23,89
0.24,89
0.25,89
0.26,59
0.27,89
0.28,89
0.29,89
0.3,89
0.31,119
0.32,89
0.33,89
0.34,89
0.35,89
0.36,119
0.37,119
0.38,89
0.39,119
0.4,119
0.41,149
0.42,119
0.43,149
0.44,119
0.45,149
0.46,149
0.47,119
0.48,149
0.49,149
0.501,149
0.511,149
0.521,149
0.531,179
0.541,149
0.551,179
0.561,149
0.571,149
0.581,179
0.591,149
0.601,149
0.611,149
0.621,149
0.631,179
0.641,149
0.651,179
0.661,149
0.671,149
0.681,179
0.691,149
0.701,179
0.711,149
0.721,179
0.731,149
0.741,179
0.751,149
0.761,179
0.771,179
0.781,179
0.791,179
0.801,179
0.811,179
0.821,209
0.831,179
0.841,179
0.851,179
0.861,209
0.871,179
0.881,209
0.891,179
0.901,209
0.911,179
0.921,209
0.931,179
0.941,179
0.951,179
0.961,179
0.971,149
0.981,179
0.992,149
1.002,179
1.012,149
1.022,149
1.032,149
1.042,149
1.052,119
1.062,149
1.072,149
1.082,119
1.092,149
1.102,149
1.112,119
1.122,119
1.132,149
1.142,149
1.152,179
1.162,149
1.172,149
1.182,149
1.192,179
1.202,149
1.212,149
1.222,149
1.232,179
1.242,149
1.252,179
1.262,179
1.272,149
1.282,179
1.292,149
1.302,179
1.312,179
1.322,149
1.332,179
1.342,149
1.352,179
1.362,149
1.372,179
1.382,179
1.392,149
1.402,179
1.412,149
1.422,179
1.432,149
1.442,179
1.452,149
1.462,179
1.472,179
1.483,179
1.493,179
1.503,179
1.513,179
1.523,179
1.533,179
1.543,209
1.553,179
1.563,179
1.573,209
1.583,209
1.593,179
1.603,209
1.613,209
1.623,179
1.633,209
1.643,179
1.653,209
1.663,179
1.673,179
1.683,179
1.693,149
1.703,179
1.713,149
1.723,179
1.733,149
1.743,149
1.753,149
1.763,149
1.773,149
1.783,119
1.793,149
1.803,149
1.813,119
1.823,149
1.833,149
1.843,149
1.853,149
1.863,179
1.873,149
1.883,149
1.893,149
1.903,179
1.913,149
1.923,149
1.933,179
1.943,149
1.953,179
1.963,149
1.973,179
1.984,179
1.994,149
2.004,179
2.014,179
2.024,149
2.034,179
2.044,149
2.054,179
2.064,149
2.074,179
2.084,179
2.094,179
2.104,149
2.114,179
2.124,179
2.134,149
2.144,149
2.154,179
2.164,179
2.174,149
2.184,179
2.194,179
2.204,179
2.214,179
2.224,179
2.234,179
2.244,179
2.254,179
2.264,209
2.274,179
2.284,179
2.294,209
2.304,179
2.314,209
2.324,179
2.334,209
2.344,179
2.354,179
2.364,209
2.374,179
2.384,179
2.394,149
2.404,179
2.414,149
2.424,179
2.434,149
2.444,149
2.454,149
2.464,149
2.475,149
2.485,149
2.495,119
2.505,149
2.515,119
2.525,119
2.535,149
2.545,149
2.555,149
2.565,149
2.575,149
2.585,149
2.595,149
2.605,179
2.615,149
2.625,149
2.635,179
2.645,149
2.655,179
2.665,149
2.675,179
2.685,149
2.695,179
2.705,179
2.715,149
2.725,179
2.735,179
2.745,179
2.755,149
2.765,179
2.775,179
2.785,149
2.795,179
2.805,179
2.815,179
2.825,179
2.835,179
2.845,149
2.855,179
2.865,179
2.875,179
2.885,179
2.895,179
2.905,179
2.915,179
2.925,179
2.935,179
2.945,179
2.955,209
2.966,179
2.976,209
2.986,179
2.996,209
3.006,179
3.016,209
3.026,209
3.036,179
3.046,209
3.056,209
3.066,179
3.076,179
3.086,179
3.096,179
3.106,179
3.116,179
3.126,149
3.136,179
3.146,149
3.156,149
3.166,149
3.176,149
3.186,149
3.196,119
3.206,149
3.216,149
