TheTime,AIN0,AIN1,AIN2,AIN3
42333.61609290,2.399794,2.592444,2.451109,1.389663
42333.61609291,2.389730,2.597479,2.446080,1.389663
42333.61609292,2.394762,2.602515,2.446080,1.389663
42333.61609293,2.399794,2.592444,2.451109,1.389663
42333.61609294,2.399794,2.597479,2.441051,1.384634
42333.61609295,2.404825,2.602515,2.451109,1.384634
42333.61609297,2.404825,2.602515,2.446080,1.379605
42333.61609298,2.399794,2.607551,2.436022,1.384634
42333.61609299,2.399794,2.592444,2.451109,1.379605
42333.61609300,2.394762,2.587408,2.466196,1.384634
42333.61609301,2.399794,2.582372,2.461167,1.384634
42333.61609302,2.399794,2.592444,2.446080,1.379605
42333.61609304,2.404825,2.587408,2.456138,1.389663
42333.61609305,2.414889,2.597479,2.446080,1.399721
42333.61609306,2.409857,2.597479,2.446080,1.379605
42333.61609307,2.404825,2.602515,2.451109,1.384634
42333.61609308,2.414889,2.597479,2.446080,1.384634
42333.61609309,2.404825,2.597479,2.451109,1.379605
42333.61609311,2.399794,2.597479,2.451109,1.384634
42333.61609312,2.394762,2.587408,2.466196,1.394692
42333.61609313,2.404825,2.592444,2.456138,1.379605
42333.61609314,2.399794,2.602515,2.451109,1.389663
42333.61609315,2.399794,2.602515,2.446080,1.389663
42333.61609316,2.404825,2.592444,2.451109,1.384634
42333.61609317,2.399794,2.597479,2.446080,1.384634
42333.61609319,2.409857,2.597479,2.436022,1.389663
42333.61609320,2.404825,2.602515,2.441051,1.384634
42333.61609321,2.409857,2.602515,2.446080,1.379605
42333.61609322,2.404825,2.592444,2.456138,1.389663
42333.61609323,2.404825,2.587408,2.456138,1.389663
42333.61609324,2.404825,2.582372,2.456138,1.384634
42333.61609326,2.404825,2.607551,2.456138,1.379605
42333.61609327,2.399794,2.602515,2.451109,1.384634
42333.61609328,2.409857,2.592444,2.451109,1.379605
42333.61609329,2.404825,2.597479,2.446080,1.389663
42333.61609330,2.404825,2.597479,2.436022,1.394692
42333.61609331,2.414889,2.602515,2.441051,1.384634
42333.61609333,2.404825,2.602515,2.441051,1.384634
42333.61609334,2.409857,2.612587,2.451109,1.389663
42333.61609335,2.404825,2.592444,2.446080,1.379605
42333.61609336,2.399794,2.587408,2.451109,1.384634
42333.61609337,2.404825,2.597479,2.451109,1.384634
42333.61609338,2.404825,2.592444,2.446080,1.379605
42333.61609339,2.394762,2.597479,2.451109,1.389663
42333.61609341,2.394762,2.597479,2.451109,1.389663
42333.61609342,2.404825,2.592444,2.446080,1.379605
42333.61609343,2.404825,2.592444,2.451109,1.384634
42333.61609344,2.404825,2.597479,2.451109,1.384634
42333.61609345,2.394762,2.597479,2.451109,1.384634
42333.61609346,2.394762,2.592444,2.456138,1.389663
42333.61609348,2.394762,2.587408,2.456138,1.394692
42333.61609349,2.399794,2.597479,2.451109,1.389663
42333.61609350,2.399794,2.602515,2.446080,1.379605
42333.61609351,2.394762,2.592444,2.441051,1.384634
42333.61609352,2.404825,2.597479,2.436022,1.384634
42333.61609353,2.404825,2.602515,2.446080,1.384634
42333.61609355,2.409857,2.592444,2.446080,1.389663
42333.61609356,2.404825,2.602515,2.441051,1.389663
42333.61609357,2.399794,2.597479,2.451109,1.389663
42333.61609358,2.394762,2.597479,2.451109,1.389663
42333.61609359,2.404825,2.592444,2.451109,1.389663
42333.61609360,2.399794,2.592444,2.446080,1.384634
42333.61609361,2.409857,2.592444,2.451109,1.384634
42333.61609363,2.409857,2.597479,2.441051,1.394692
42333.61609364,2.394762,2.592444,2.441051,1.389663
42333.61609365,2.399794,2.607551,2.456138,1.394692
42333.61609366,2.404825,2.587408,2.451109,1.379605
42333.61609367,2.409857,2.602515,2.446080,1.384634
42333.61609368,2.399794,2.597479,2.451109,1.379605
42333.61609370,2.399794,2.582372,2.451109,1.389663
42333.61609371,2.399794,2.592444,2.461167,1.384634
42333.61609372,2.404825,2.597479,2.446080,1.389663
42333.61609373,2.394762,2.592444,2.446080,1.379605
42333.61609374,2.404825,2.592444,2.446080,1.384634
42333.61609375,2.409857,2.602515,2.451109,1.384634
42333.61609377,2.404825,2.602515,2.441051,1.399721
42333.61609378,2.409857,2.602515,2.451109,1.384634
42333.61609379,2.409857,2.612587,2.446080,1.379605
42333.61609380,2.399794,2.607551,2.456138,1.389663
42333.61609381,2.404825,2.587408,2.456138,1.394692
42333.61609382,2.394762,2.587408,2.456138,1.389663
