TheTime,AIN0,,AIN1,AIN2,AIN3,,AVERAGE,AIN1,TIME,a
42333.62084,2.399794,0,2.597479,2.44608,1.384634,,2.597460955,2.562229,0,-1.761597734
42333.62084,2.404825,0.001,2.607551,2.451109,1.384634,,,2.582372,0.001,-0.754447734
42333.62084,2.41992,0.002,2.592444,2.456138,1.389663,,,2.572301,0.002,-1.257997734
42333.62084,2.414889,0.003,2.602515,2.451109,1.384634,,,2.572301,0.003,-1.257997734
42333.62084,2.414889,0.004,2.602515,2.451109,1.384634,,,2.557193,0.004,-2.013397734
42333.62084,2.414889,0.005,2.592444,2.461167,1.379605,,,2.547122,0.005,-2.516947734
42333.62084,2.404825,0.006,2.602515,2.456138,1.389663,,,2.577336,0.006,-1.006247734
42333.62084,2.394762,0.007,2.587408,2.456138,1.384634,,,2.602515,0.007,0.252702266
42333.62084,2.399794,0.008,2.582372,2.456138,1.384634,,,2.597479,0.008,0.000902266
42333.62084,2.394762,0.009,2.587408,2.451109,1.379605,,,2.597479,0.009,0.000902266
42333.62084,2.404825,0.01,2.602515,2.44608,1.374576,,,2.572301,0.01,-1.257997734
42333.62084,2.399794,0.011,2.602515,2.456138,1.379605,,,2.577336,0.011,-1.006247734
42333.62084,2.409857,0.012,2.592444,2.44608,1.384634,,,2.572301,0.012,-1.257997734
42333.62084,2.414889,0.013,2.607551,2.451109,1.389663,,,2.577336,0.013,-1.006247734
42333.62084,2.414889,0.014,2.602515,2.44608,1.384634,,,2.597479,0.014,0.000902266
42333.62084,2.399794,0.015,2.597479,2.44608,1.384634,,,2.627694,0.015,1.511652266
42333.62084,2.399794,0.016,2.597479,2.456138,1.384634,,,2.63273,0.016,1.763452266
42333.62084,2.38973,0.017,2.587408,2.456138,1.384634,,,2.602515,0.017,0.252702266
42333.62084,2.38973,0.018,2.587408,2.451109,1.384634,,,2.602515,0.018,0.252702266
42333.62084,2.394762,0.019,2.592444,2.44608,1.394692,,,2.627694,0.019,1.511652266
42333.62084,2.399794,0.02,2.597479,2.44608,1.379605,,,2.647837,0.02,2.518802266
42333.62084,2.404825,0.021,2.602515,2.441051,1.384634,,,2.637765,0.021,2.015202266
42333.62084,2.404825,0.022,2.602515,2.44608,1.384634,,,2.597479,0.022,0.000902266
42333.62084,2.414889,0.023,2.607551,2.441051,1.384634,,,2.532015,0.023,-3.272297734
42333.62084,2.414889,0.024,2.602515,2.44608,1.389663,,,2.552158,0.024,-2.265147734
42333.62084,2.41992,0.025,2.602515,2.451109,1.384634,,,2.587408,0.025,-0.502647734
42333.62084,2.404825,0.026,2.597479,2.44608,1.379605,,,2.567265,0.026,-1.509797734
42333.62084,2.399794,0.027,2.592444,2.461167,1.379605,,,2.567265,0.027,-1.509797734
42333.62084,2.394762,0.028,2.587408,2.451109,1.384634,,,2.562229,0.028,-1.761597734
42333.62084,2.38973,0.029,2.592444,2.451109,1.389663,,,2.597479,0.029,0.000902266
42333.62084,2.394762,0.03,2.602515,2.441051,1.384634,,,2.602515,0.03,0.252702266
42333.62084,2.399794,0.031,2.607551,2.451109,1.384634,,,2.567265,0.031,-1.509797734
42333.62084,2.409857,0.032,2.597479,2.441051,1.384634,,,2.547122,0.032,-2.516947734
42333.62084,2.409857,0.033,2.607551,2.441051,1.379605,,,2.567265,0.033,-1.509797734
42333.62084,2.414889,0.034,2.602515,2.44608,1.384634,,,2.627694,0.034,1.511652266
42333.62084,2.414889,0.035,2.597479,2.44608,1.384634,,,2.728409,0.035,6.547402266
42333.62084,2.404825,0.036,2.597479,2.44608,1.379605,,,2.622658,0.036,1.259852266
42333.62084,2.399794,0.037,2.602515,2.466196,1.384634,,,2.562229,0.037,-1.761597734
42333.62084,2.399794,0.038,2.587408,2.456138,1.384634,,,2.642801,0.038,2.267002266
42333.62084,2.394762,0.039,2.602515,2.441051,1.379605,,,2.738481,0.039,7.051002266
42333.62084,2.394762,0.04,2.602515,2.441051,1.384634,,,2.708266,0.04,5.540252266
42333.62084,2.394762,0.041,2.597479,2.441051,1.394692,,,2.577336,0.041,-1.006247734
42333.62084,2.409857,0.042,2.597479,2.44608,1.384634,,,2.557193,0.042,-2.013397734
42333.62084,2.409857,0.043,2.602515,2.456138,1.374576,,,2.582372,0.043,-0.754447734
42333.62084,2.414889,0.044,2.597479,2.456138,1.394692,,,2.597479,0.044,0.000902266
42333.62084,2.409857,0.045,2.597479,2.456138,1.389663,,,2.622658,0.045,1.259852266
42333.62084,2.409857,0.046,2.597479,2.456138,1.384634,,,2.657908,0.046,3.022352266
42333.62084,2.399794,0.047,2.587408,2.451109,1.389663,,,2.612587,0.047,0.756302266
42333.62085,2.399794,0.048,2.587408,2.441051,1.394692,,,2.582372,0.048,-0.754447734
42333.62085,2.394762,0.049,2.597479,2.44608,1.389663,,,2.53705,0.049,-3.020547734
42333.62085,2.399794,0.05,2.597479,2.430993,1.399721,,,2.562229,0.05,-1.761597734
42333.62085,2.404825,0.051,2.602515,2.44608,1.384634,,,2.577336,0.051,-1.006247734
42333.62085,2.41992,0.052,2.597479,2.44608,1.384634,,,2.577336,0.052,-1.006247734
42333.62085,2.409857,0.053,2.607551,2.441051,1.389663,,,2.582372,0.053,-0.754447734
42333.62085,2.414889,0.054,2.597479,2.451109,1.384634,,,2.577336,0.054,-1.006247734
42333.62085,2.404825,0.055,2.592444,2.451109,1.384634,,,2.562229,0.055,-1.761597734
42333.62085,2.399794,0.056,2.597479,2.461167,1.379605,,,2.577336,0.056,-1.006247734
42333.62085,2.399794,0.057,2.587408,2.456138,1.389663,,,2.612587,0.057,0.756302266
42333.62085,2.394762,0.058,2.582372,2.451109,1.379605,,,2.627694,0.058,1.511652266
42333.62085,2.394762,0.059,2.607551,2.44608,1.384634,,,2.577336,0.059,-1.006247734
