TheTime,AIN0,AIN1,AIN2,AIN3
42333.62257695,2.404825,2.602515,2.451109,1.384634
42333.62257696,2.404825,2.597479,2.446080,1.379605
42333.62257698,2.394762,2.587408,2.456138,1.389663
42333.62257699,2.394762,2.587408,2.461167,1.389663
42333.62257700,2.404825,2.592444,2.451109,1.384634
42333.62257701,2.404825,2.592444,2.456138,1.389663
42333.62257702,2.404825,2.597479,2.451109,1.384634
42333.62257703,2.409857,2.602515,2.451109,1.384634
42333.62257705,2.409857,2.597479,2.446080,1.379605
42333.62257706,2.409857,2.597479,2.446080,1.379605
42333.62257707,2.409857,2.597479,2.446080,1.379605
42333.62257708,2.404825,2.602515,2.446080,1.389663
42333.62257709,2.399794,2.597479,2.456138,1.384634
42333.62257710,2.394762,2.592444,2.456138,1.384634
42333.62257712,2.394762,2.602515,2.430993,1.379605
42333.62257713,2.394762,2.587408,2.446080,1.384634
42333.62257714,2.399794,2.587408,2.446080,1.384634
42333.62257715,2.404825,2.592444,2.441051,1.384634
42333.62257716,2.399794,2.602515,2.441051,1.384634
42333.62257717,2.404825,2.602515,2.446080,1.379605
42333.62257718,2.399794,2.597479,2.446080,1.384634
42333.62257720,2.404825,2.597479,2.446080,1.389663
42333.62257721,2.404825,2.587408,2.451109,1.384634
42333.62257722,2.399794,2.587408,2.456138,1.379605
42333.62257723,2.404825,2.602515,2.451109,1.384634
42333.62257724,2.399794,2.597479,2.446080,1.389663
42333.62257725,2.404825,2.602515,2.446080,1.379605
42333.62257727,2.409857,2.592444,2.451109,1.384634
42333.62257728,2.404825,2.592444,2.441051,1.384634
42333.62257729,2.399794,2.597479,2.446080,1.384634
42333.62257730,2.404825,2.602515,2.456138,1.394692
42333.62257731,2.399794,2.602515,2.441051,1.384634
42333.62257732,2.399794,2.592444,2.451109,1.389663
42333.62257734,2.394762,2.597479,2.441051,1.389663
42333.62257735,2.389730,2.602515,2.441051,1.384634
42333.62257736,2.399794,2.602515,2.446080,1.384634
42333.62257737,2.404825,2.592444,2.446080,1.389663
42333.62257738,2.404825,2.602515,2.446080,1.384634
42333.62257739,2.409857,2.597479,2.446080,1.389663
42333.62257740,2.399794,2.602515,2.446080,1.384634
42333.62257742,2.404825,2.602515,2.451109,1.384634
42333.62257743,2.404825,2.597479,2.441051,1.389663
42333.62257744,2.399794,2.592444,2.451109,1.384634
42333.62257745,2.404825,2.592444,2.446080,1.384634
42333.62257746,2.399794,2.597479,2.441051,1.379605
42333.62257747,2.409857,2.597479,2.451109,1.384634
42333.62257749,2.399794,2.597479,2.441051,1.384634
42333.62257750,2.409857,2.597479,2.466196,1.384634
42333.62257751,2.409857,2.597479,2.451109,1.379605
42333.62257752,2.404825,2.602515,2.456138,1.384634
42333.62257753,2.404825,2.587408,2.451109,1.384634
42333.62257754,2.399794,2.592444,2.451109,1.384634
42333.62257756,2.394762,2.582372,2.461167,1.384634
42333.62257757,2.399794,2.582372,2.456138,1.384634
42333.62257758,2.399794,2.587408,2.451109,1.379605
42333.62257759,2.404825,2.592444,2.451109,1.394692
42333.62257760,2.409857,2.597479,2.436022,1.389663
42333.62257761,2.404825,2.597479,2.436022,1.394692
42333.62257762,2.409857,2.597479,2.446080,1.389663
42333.62257764,2.404825,2.592444,2.451109,1.384634
42333.62257765,2.404825,2.597479,2.451109,1.384634
42333.62257766,2.399794,2.592444,2.446080,1.389663
42333.62257767,2.389730,2.592444,2.451109,1.384634
42333.62257768,2.399794,2.592444,2.441051,1.384634
42333.62257769,2.399794,2.597479,2.441051,1.384634
42333.62257771,2.399794,2.602515,2.446080,1.384634
42333.62257772,2.404825,2.592444,2.446080,1.389663
42333.62257773,2.409857,2.592444,2.446080,1.384634
42333.62257774,2.409857,2.592444,2.441051,1.384634
42333.62257775,2.399794,2.592444,2.461167,1.379605
42333.62257776,2.399794,2.602515,2.451109,1.389663
42333.62257777,2.389730,2.592444,2.461167,1.379605
42333.62257779,2.389730,2.587408,2.451109,1.384634
42333.62257780,2.389730,2.597479,2.451109,1.384634
42333.62257781,2.399794,2.607551,2.451109,1.389663
42333.62257782,2.399794,2.597479,2.446080,1.379605
42333.62257783,2.399794,2.597479,2.446080,1.384634
42333.62257784,2.409857,2.602515,2.446080,1.389663
42333.62257786,2.409857,2.602515,2.441051,1.389663
42333.62257787,2.409857,2.597479,2.441051,1.384634
42333.62257788,2.409857,2.602515,2.451109,1.389663
42333.62257789,2.404825,2.597479,2.446080,1.384634
42333.62257790,2.389730,2.592444,2.441051,1.379605
42333.62257791,2.389730,2.597479,2.446080,1.374576
42333.62257793,2.394762,2.602515,2.436022,1.379605
42333.62257794,2.399794,2.597479,2.441051,1.389663
42333.62257795,2.404825,2.592444,2.446080,1.389663
42333.62257796,2.414889,2.592444,2.436022,1.389663
42333.62257797,2.404825,2.597479,2.446080,1.374576
