TheTime,AIN0,AIN1,AIN2,AIN3
42333.60272528,2.404825,2.597479,2.446080,1.394692
42333.60272529,2.399794,2.577336,2.451109,1.379605
42333.60272530,2.394762,2.592444,2.456138,1.389663
42333.60272531,2.394762,2.592444,2.451109,1.379605
42333.60272532,2.399794,2.597479,2.451109,1.379605
42333.60272533,2.409857,2.602515,2.451109,1.384634
42333.60272534,2.409857,2.597479,2.451109,1.394692
42333.60272536,2.404825,2.602515,2.456138,1.389663
42333.60272537,2.404825,2.597479,2.446080,1.384634
42333.60272538,2.404825,2.607551,2.451109,1.384634
42333.60272539,2.404825,2.592444,2.441051,1.389663
42333.60272540,2.409857,2.587408,2.446080,1.384634
42333.60272541,2.399794,2.592444,2.441051,1.389663
42333.60272543,2.399794,2.592444,2.441051,1.384634
42333.60272544,2.414889,2.592444,2.451109,1.389663
42333.60272545,2.404825,2.597479,2.451109,1.384634
42333.60272546,2.409857,2.597479,2.441051,1.379605
42333.60272547,2.409857,2.592444,2.446080,1.389663
42333.60272548,2.414889,2.602515,2.446080,1.389663
42333.60272550,2.409857,2.587408,2.456138,1.384634
42333.60272551,2.404825,2.587408,2.456138,1.374576
42333.60272552,2.404825,2.592444,2.456138,1.389663
42333.60272553,2.399794,2.607551,2.446080,1.384634
42333.60272554,2.394762,2.597479,2.451109,1.389663
42333.60272555,2.399794,2.592444,2.441051,1.394692
42333.60272556,2.409857,2.607551,2.456138,1.389663
42333.60272558,2.404825,2.602515,2.456138,1.384634
42333.60272559,2.409857,2.597479,2.456138,1.389663
42333.60272560,2.409857,2.602515,2.446080,1.389663
42333.60272561,2.404825,2.597479,2.451109,1.394692
42333.60272562,2.399794,2.587408,2.441051,1.379605
42333.60272563,2.389730,2.587408,2.441051,1.389663
42333.60272565,2.384699,2.597479,2.441051,1.379605
42333.60272566,2.394762,2.592444,2.441051,1.379605
42333.60272567,2.399794,2.592444,2.441051,1.384634
42333.60272568,2.409857,2.602515,2.441051,1.389663
42333.60272569,2.414889,2.607551,2.451109,1.384634
42333.60272570,2.404825,2.602515,2.456138,1.389663
42333.60272572,2.404825,2.597479,2.456138,1.384634
42333.60272573,2.394762,2.602515,2.441051,1.384634
42333.60272574,2.394762,2.587408,2.456138,1.384634
42333.60272575,2.389730,2.587408,2.456138,1.384634
42333.60272576,2.394762,2.592444,2.446080,1.384634
42333.60272577,2.384699,2.602515,2.461167,1.379605
42333.60272578,2.399794,2.597479,2.456138,1.384634
42333.60272580,2.409857,2.597479,2.456138,1.379605
42333.60272581,2.419920,2.607551,2.451109,1.384634
42333.60272582,2.409857,2.597479,2.451109,1.384634
42333.60272583,2.409857,2.602515,2.451109,1.384634
42333.60272584,2.399794,2.602515,2.456138,1.389663
42333.60272585,2.399794,2.602515,2.461167,1.394692
42333.60272587,2.404825,2.587408,2.451109,1.374576
42333.60272588,2.399794,2.592444,2.446080,1.379605
42333.60272589,2.399794,2.597479,2.456138,1.384634
