TheTime,AIN0,,AIN1,AIN2,AIN3,AVERAGE,AIN1
42333.60759,2.404825,0,2.607551,2.44608,1.389663,2.597006585,2.597479
42333.60759,2.404825,0.001,2.602515,2.451109,1.384634,,2.587408
42333.60759,2.404825,0.002,2.592444,2.456138,1.384634,,2.597479
42333.60759,2.399794,0.003,2.587408,2.466196,1.379605,,2.592444
42333.60759,2.38973,0.004,2.582372,2.461167,1.384634,,2.597479
42333.60759,2.394762,0.005,2.602515,2.451109,1.379605,,2.607551
42333.60759,2.399794,0.006,2.592444,2.44608,1.399721,,2.592444
42333.60759,2.404825,0.007,2.597479,2.436022,1.384634,,2.587408
42333.60759,2.404825,0.008,2.597479,2.436022,1.384634,,2.597479
42333.60759,2.399794,0.009,2.597479,2.436022,1.379605,,2.602515
42333.60759,2.399794,0.01,2.607551,2.451109,1.394692,,2.597479
42333.60759,2.409857,0.011,2.597479,2.456138,1.384634,,2.592444
42333.60759,2.404825,0.012,2.597479,2.456138,1.389663,,2.592444
42333.60759,2.38973,0.013,2.582372,2.456138,1.384634,,2.602515
42333.60759,2.394762,0.014,2.592444,2.451109,1.379605,,2.602515
42333.60759,2.394762,0.015,2.587408,2.44608,1.384634,,2.607551
42333.60759,2.399794,0.016,2.592444,2.451109,1.389663,,2.597479
42333.60759,2.404825,0.017,2.602515,2.441051,1.384634,,2.587408
42333.60759,2.414889,0.018,2.597479,2.44608,1.379605,,2.602515
42333.60759,2.404825,0.019,2.602515,2.44608,1.389663,,2.602515
42333.60759,2.409857,0.02,2.597479,2.441051,1.384634,,2.592444
42333.60759,2.414889,0.021,2.607551,2.44608,1.394692,,2.597479
42333.60759,2.404825,0.022,2.607551,2.456138,1.379605,,2.602515
42333.60759,2.399794,0.023,2.592444,2.451109,1.379605,,2.602515
42333.60759,2.399794,0.024,2.582372,2.456138,1.384634,,2.592444
42333.60759,2.399794,0.025,2.607551,2.461167,1.389663,,2.602515
